"Class","Sub Class","Order","Sub Order","Occupations","Gender","Age Group","Count"
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","General Government","The Governor","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","General Government","Cabinet Minister (not otherwise described)","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","General Government","Member of Parliament (not otherwise described)","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","General Government","Officer of Government Department (not otherwise classed)","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Local Government","Officer of local body","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Local Government","Others (including Mayors or members of local bodies whose ordinary occupation is not stated)","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Permanent Militia officer in actual service","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Permanent Militia non-commissioned officer, private","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Naval officer in actual service","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Naval petty officer, sailor","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Others (including Militia or Volunteer officer whose ordinary occupation is not stated)","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Judge","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Law-court officer","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Magistrate","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Barrister","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Solicitor","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Law clerk, lawyers' clerk","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Law-student","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Others connected with the law","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Police","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Penal officer","Female","Under 5 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Others","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Clergyman","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Irregular clergy","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Theological student","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Church officer","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Member of religious order not classed as ministering to charity or education","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Others connected with religion","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Charity (exclusive of hospitals)","Officer or servant of charitable or benevolent institution","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Charity (exclusive of hospitals)","Sister of charity","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Medical man in practice","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Medical student","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Irregular medical practitioner and assistant","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Dentist (including apprentice)","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Pharmaceutical chemist, druggist, and assistant","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Hospital or asylum officer, nurse, or. attendant (not elsewhere described)","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Midwife, monthly nurse","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Sick-nurse","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Veterinary surgeon and assistant","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Others","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Literature","Author, editor, journalist","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Literature","Reporter, shorthand-writer","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Literature","Interpreter","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Literature","Others","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Analytical chemist","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Assayer, metallurgist","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Geologist, mineralogist","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Naturalist, biologist, botanist","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Others","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Civil engineer","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Civil engineer's assistant, clerk, cadet","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Mechanical engineer (directing or consulting)","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Electrician (not connected with telegraph or telephone service),","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Surveyor","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Surveyor's assistant, chainman, cadet, labourer","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Architect","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Architect's assistant","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Draughtsman (undefined, engineer's, surveyor's, architect's, railway)","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Others","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Education","Officer of Education Department (includes Inspector of Schools)","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Education","University professor, demonstrator, lecturer, &c.","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Education","School master, mistress, teacher, pupil-teacher","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Education","Tutor, governess","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Education","Teacher of languages or other accomplishments (not art or music)","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Education","Others","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Fine Arts","Artist, painter, art student","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Fine Arts","Sculptor","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Fine Arts","Engraver, assistant","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Fine Arts","Photographer, assistant","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Fine Arts","Others","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Music","Musician, vocalist","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Music","Music-teacher","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Music","Others","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Amusements","Actor, actress","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Amusements","Theatre proprietor, lessee, manager, doorkeeper, ticket-taker","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Amusements","Racecourse ranger (racing club's officer), caretaker, secretary","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Amusements","Jockey","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Amusements","Cricket-ground, bowling-green, tennis-court caretaker, professional player","Female","Under 5 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Amusements","Billiard-table proprietor, keeper, marker","Female","Under 5 Years",NA
