Class,Sub Class,Order,Sub Order,Occupations,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Males,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Females
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",General Government,The Governor,,,,,1,,,,1,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",General Government,Cabinet Minister (not otherwise described),,,,,3,,,,3,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",General Government,Member of Parliament (not otherwise described),,,,,3,,,,3,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",General Government,Officer of Government Department (not otherwise classed),,,43,53,226,209,19,1,551,,,,1,1,,,,2
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Local Government,Officer of local body,,,13,10,100,150,20,1,294,,,,1,4,,,,5
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Local Government,Others (including Mayors or members of local bodies whose ordinary occupation is not stated),,,,,,6,4,,10,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Defence,Permanent Militia officer in actual service,,,,,3,5,,,8,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Defence,"Permanent Militia non-commissioned officer, private",,,4,40,90,13,,,147,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Defence,Naval officer in actual service,,,3,1,6,2,,,12,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Defence,"Naval petty officer, sailor",,,1,4,4,,,,9,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Defence,Others (including Militia or Volunteer officer whose ordinary occupation is not stated),,,3,7,54,28,2,1,95,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Judge,,,,,5,14,5,1,25,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Law-court officer,,,2,5,41,63,4,,115,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Magistrate,,,,,4,22,,,26,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Barrister,,,,19,183,60,5,1,268,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Solicitor,,,,29,196,69,9,,303,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,"Law clerk, lawyers' clerk",,14,129,147,156,43,1,,490,,,1,,,,,,1
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Law-student,,,9,24,11,,,,44,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Others connected with the law,,,,2,,13,1,,20,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Police,,,1,12,346,126,1,3,489,,,,,,,,,
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Penal officer,,,,1,63,46,,,110,,,,,6,6,,,12
Professional,,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.",Law and Order,Others,,,1,1,2,,,,4,,,,,,,,,
Professional,,"Persons ministering to Religion, Charity Health, Science, Education, and Art.",Religion,Clergyman,,,,10,387,267,68,,732,,,,,,,,,
